@relation NumericData

@attribute Ville numeric
@attribute Secteur_activite numeric
@attribute Type_contrat numeric
@attribute Niveau_etudes numeric
@attribute Experience numeric
@attribute Langue numeric
@attribute Salaire numeric
@attribute Teletravail numeric

@data
0,1,0,0,1,0,9000,0
0,0,0,2,2,0,18000,0
0,9,0,4,2,1,18800,0
0,6,0,2,1,2,7800,0
0,36,0,1,1,1,7400,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,36,0,1,1,0,8000,0
0,37,0,2,1,2,6800,0
0,6,0,2,1,0,7800,0
0,15,0,0,1,1,5200,0
4,15,0,0,1,0,6400,0
0,38,0,2,2,1,15600,0
0,10,0,2,0,2,7800,0
5,4,2,0,1,1,7600,0
0,11,0,2,2,0,19000,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,0,0,1,0,0,7800,0
0,6,0,2,1,2,7800,0
3,2,0,0,1,2,6000,0
0,39,0,2,2,2,16400,1
0,6,0,2,1,1,7800,0
0,25,0,1,1,0,5800,0
0,10,4,1,1,1,5200,0
0,25,0,1,1,1,7200,0
0,25,0,1,1,1,6800,0
0,10,0,2,0,0,7800,0
0,0,0,2,0,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,10,3,1,1,1,5400,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,2,0,2,2,2,19000,0
0,28,0,4,2,0,18600,0
0,6,0,2,1,2,7800,0
4,11,0,1,0,2,7800,0
3,17,0,0,0,0,7800,0
0,2,0,4,1,0,8600,0
0,1,0,2,1,1,8400,0
0,6,0,2,1,2,7800,0
0,3,0,4,1,0,8800,0
0,10,0,4,2,1,17200,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,8,0,2,0,1,7800,1
4,17,0,4,1,1,5600,0
0,7,0,2,2,1,19400,0
0,40,0,0,0,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,1,0,2,0,2,7800,0
0,6,0,2,1,2,7800,0
0,41,0,2,0,2,7800,0
3,7,0,2,0,2,7800,0
3,42,0,2,1,2,7800,0
0,8,1,2,2,0,16800,0
0,43,0,0,1,2,9000,0
5,5,0,2,2,0,16600,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
1,21,3,4,1,2,6400,0
0,6,0,2,1,0,7800,0
0,44,0,2,2,0,16200,0
0,7,2,1,1,2,8600,0
0,2,0,1,0,1,7800,0
0,10,0,2,0,0,7800,0
0,7,0,1,1,2,7200,0
0,1,0,2,0,2,7800,0
0,11,0,4,0,1,7800,0
0,45,0,4,1,0,6600,0
0,46,0,2,3,2,36000,0
0,1,0,0,1,0,5800,0
0,13,0,2,2,0,15800,0
1,4,0,2,1,0,7000,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,1,0,0,1,1,8400,0
0,1,0,0,1,2,5000,0
0,6,0,2,1,0,7800,0
0,1,0,1,0,1,7800,2
0,8,0,2,0,2,7800,1
0,13,0,1,1,0,8400,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
3,8,0,2,0,1,7800,0
0,1,1,1,0,2,7800,0
0,1,0,2,1,2,5600,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,10,3,2,1,2,8800,0
0,6,0,2,1,0,7800,0
0,5,0,4,1,2,8600,2
0,6,0,2,1,0,7800,0
0,5,2,2,0,0,7800,0
4,17,0,1,1,1,8000,0
0,20,0,2,0,0,7800,1
0,6,0,2,1,1,7800,0
0,20,0,2,0,0,7800,1
0,20,0,2,1,0,7000,1
0,47,4,1,1,1,5600,0
0,48,0,0,1,0,6200,0
0,6,0,2,1,2,7800,0
3,49,0,0,2,0,20000,0
3,50,0,2,0,0,7800,0
0,6,0,2,1,0,7800,0
3,50,0,0,3,1,47200,0
3,25,0,0,0,2,7800,0
3,51,0,2,0,2,7800,0
3,50,0,0,2,2,15000,0
3,25,0,2,0,0,7800,0
0,5,0,2,0,0,7800,0
0,1,0,1,2,1,19400,0
0,8,0,2,2,0,16000,0
0,6,0,2,1,1,7800,0
0,52,0,4,1,2,7200,0
4,25,0,2,0,0,7800,0
3,49,0,2,0,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
4,10,0,2,1,1,6000,0
0,4,0,2,0,0,7800,0
1,4,0,2,0,1,7800,0
0,6,0,2,1,2,7800,0
0,1,0,2,0,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
4,8,0,4,2,2,16800,1
4,8,0,2,2,1,17200,1
4,8,0,4,2,0,18600,1
4,8,0,4,2,1,15400,1
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,53,0,2,1,0,5400,0
0,8,0,2,2,2,20000,1
4,8,0,2,0,2,7800,1
0,8,0,1,0,2,7800,1
0,6,0,2,1,2,7800,0
0,8,0,2,2,1,16800,2
4,8,0,2,0,0,7800,2
0,6,0,2,1,0,7800,0
0,8,0,2,2,0,18000,1
4,8,0,2,2,1,15000,1
0,5,3,1,1,2,7200,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,10,0,4,0,0,7800,0
0,6,0,2,1,2,7800,0
3,7,2,2,0,0,7800,0
0,6,0,2,1,0,7800,0
4,21,0,0,0,0,7800,0
4,8,0,4,1,2,8200,1
0,15,0,0,1,0,6600,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
4,32,0,2,1,1,7000,0
0,12,0,4,0,1,7800,0
1,5,0,2,0,2,7800,0
4,20,0,2,2,0,18600,1
0,6,0,2,1,1,7800,0
1,1,1,0,1,1,6200,0
0,54,0,4,2,2,18800,0
1,12,0,2,2,0,18200,0
0,1,0,4,0,1,7800,0
0,6,0,2,1,0,7800,0
0,55,1,4,1,2,5000,0
0,1,0,2,0,2,7800,0
0,6,0,2,1,0,7800,0
0,7,0,2,0,1,7800,0
4,10,0,1,1,2,5200,0
4,10,4,1,1,2,7800,0
0,1,0,1,0,1,7800,0
0,56,0,0,1,1,6800,0
0,57,1,0,1,1,8400,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,5,0,1,1,0,7400,0
0,10,0,2,1,1,6400,0
0,6,0,2,1,0,7800,0
0,9,1,1,1,1,6000,0
3,51,0,2,1,1,6600,0
0,5,0,1,0,0,7800,0
0,58,0,1,0,0,7800,0
0,25,0,1,1,0,7600,0
0,0,0,2,0,2,7800,0
0,6,0,2,1,1,7800,0
0,4,0,2,1,1,8200,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
3,2,0,2,0,1,7800,0
0,6,0,2,1,2,7800,0
0,12,0,2,0,0,7800,0
0,5,0,0,0,1,7800,0
0,8,0,4,2,1,19400,0
0,1,0,2,0,2,7800,0
0,8,0,1,1,2,7200,1
0,6,0,2,1,1,7800,0
4,8,0,2,2,2,17400,1
0,10,0,2,1,1,8000,0
0,10,0,2,1,1,8400,0
0,10,0,2,2,0,15000,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,1,0,2,2,1,19400,0
0,28,0,2,2,2,18400,1
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
4,8,0,0,1,2,8000,2
0,6,0,2,1,0,7800,0
0,1,0,1,0,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,1,0,2,0,0,7800,0
0,4,2,0,1,2,5800,0
6,4,2,0,1,0,5200,0
0,27,1,1,1,0,5600,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,59,0,4,1,1,7600,0
4,12,0,2,2,0,18800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,2,0,2,1,1,6200,0
0,5,0,1,0,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,11,0,0,0,1,7800,0
0,21,0,0,0,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,24,0,2,2,0,18600,1
0,6,0,2,1,2,7800,0
4,8,0,2,2,0,19000,1
4,8,0,2,0,1,7800,1
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,0,0,2,2,0,16600,0
0,30,0,2,1,0,6400,1
0,1,0,2,2,2,16400,0
0,8,0,0,1,2,6600,0
0,60,0,2,2,1,15800,0
3,4,0,2,2,1,19000,0
0,60,0,1,0,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,61,0,2,3,1,34000,0
0,6,0,2,1,2,7800,0
5,62,0,2,2,0,19400,0
0,7,0,4,2,1,15800,0
0,63,0,2,2,0,20000,0
0,6,0,2,1,0,7800,0
0,1,3,1,1,1,8000,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,64,0,4,1,0,5000,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,8,0,2,2,2,18600,0
0,8,0,2,2,0,17800,0
0,8,0,2,2,1,20000,0
4,8,3,2,0,1,7800,0
0,6,0,2,1,1,7800,0
1,5,2,2,1,2,5200,0
0,31,0,2,0,1,7800,0
0,8,4,2,1,0,6600,1
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,12,0,2,2,1,19400,0
0,12,0,2,0,1,7800,1
4,7,3,2,2,2,16400,1
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,8,0,2,1,1,8000,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
5,0,0,2,0,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,10,0,0,1,2,8800,0
0,21,0,4,2,2,16200,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
1,65,1,0,1,0,7200,0
0,6,0,2,1,0,7800,0
0,5,0,4,0,0,7800,0
0,66,0,0,1,2,5600,1
4,66,0,0,1,1,6600,1
4,1,0,0,1,1,6400,1
9,1,0,1,2,0,17000,0
3,7,0,1,0,0,7800,0
3,7,0,2,0,0,7800,0
3,49,0,2,0,0,7800,0
3,10,0,2,0,2,7800,0
4,9,0,1,0,2,7800,0
4,7,0,2,0,2,7800,0
0,6,0,2,1,1,7800,0
0,5,0,0,0,2,7800,0
3,2,0,0,0,0,7800,0
0,5,0,0,1,1,6000,0
5,67,0,0,0,2,7800,0
0,1,0,0,0,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,1,0,2,0,0,7800,0
0,8,0,2,0,1,7800,1
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,8,0,2,2,1,17400,0
4,8,0,4,2,0,19600,1
10,53,0,2,2,2,15000,0
4,8,0,4,2,0,15000,1
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
8,68,0,0,0,1,7800,0
0,6,0,2,1,0,7800,0
0,4,0,1,0,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
4,8,0,2,2,1,19800,1
4,8,0,2,2,0,17800,1
0,7,0,2,0,2,7800,0
3,21,0,4,1,0,6600,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,25,4,0,1,2,5400,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,11,0,2,0,0,7800,0
0,11,0,2,0,1,7800,0
0,8,0,2,0,1,7800,1
0,69,1,1,0,2,7800,0
0,8,0,2,0,0,7800,1
0,8,0,2,0,1,7800,1
0,8,0,2,0,2,7800,1
0,8,0,2,0,0,7800,1
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,1,0,2,0,1,7800,0
0,6,0,2,1,2,7800,0
10,25,0,2,3,1,29400,0
1,0,1,1,1,1,7800,0
6,17,0,4,1,2,6800,0
0,6,0,2,1,0,7800,0
0,4,0,2,0,2,7800,0
4,8,0,2,2,2,18800,1
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,28,0,2,1,0,9000,1
0,1,0,1,0,2,7800,0
0,53,0,2,2,0,19200,1
0,0,0,1,1,1,5200,0
0,4,0,0,0,2,7800,0
0,1,1,0,1,0,7200,0
0,6,0,2,1,1,7800,0
0,36,0,4,2,0,18000,0
0,10,0,2,0,1,7800,0
0,8,0,2,2,2,15000,0
0,5,0,2,0,1,7800,0
0,8,0,0,1,1,5000,0
0,8,0,0,1,0,5400,0
0,8,1,2,2,0,19800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
2,70,2,1,1,1,8600,0
4,66,0,4,1,0,8200,0
4,17,0,4,1,2,9000,0
0,7,0,2,0,2,7800,0
8,4,0,2,2,1,17600,0
0,9,0,0,1,1,8600,0
0,6,0,2,1,0,7800,0
8,13,0,1,2,0,16400,0
3,13,0,2,0,2,7800,0
1,1,0,1,0,1,7800,0
4,11,0,2,0,2,7800,0
0,12,1,2,1,2,9000,0
0,9,0,1,0,1,7800,0
0,6,0,2,1,0,7800,0
0,8,0,2,2,1,18600,0
4,10,0,2,0,1,7800,0
0,1,0,2,0,2,7800,0
0,4,0,2,0,2,7800,0
0,28,0,2,0,1,7800,0
0,13,0,2,0,1,7800,0
0,8,0,1,0,0,7800,0
1,4,0,2,0,0,7800,0
3,7,2,2,0,0,7800,0
3,7,2,2,0,2,7800,0
3,7,0,2,0,2,7800,0
0,1,0,1,1,0,7200,0
0,25,0,1,1,1,7200,0
4,1,0,1,0,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,0,4,2,1,1,6800,0
0,6,0,2,1,0,7800,0
4,13,0,2,0,1,7800,0
0,3,0,4,1,1,5800,0
0,6,0,2,1,0,7800,0
6,1,0,4,0,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,4,0,2,3,2,44200,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
5,5,0,4,0,0,7800,0
0,6,0,2,1,0,7800,0
0,0,4,1,1,2,7000,0
0,0,4,1,1,0,7400,0
8,4,0,1,0,2,7800,0
8,13,0,1,0,2,7800,0
8,4,0,0,2,0,18400,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,5,0,2,2,2,16600,0
3,7,0,2,0,0,7800,0
0,6,0,2,1,0,7800,0
0,5,2,1,1,1,5600,0
0,10,1,0,1,2,7400,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,8,0,4,2,0,16800,0
4,1,0,0,1,1,8200,1
4,66,0,0,1,0,5400,1
0,66,0,0,1,2,6200,1
1,1,0,4,1,0,6000,0
0,6,0,2,1,1,7800,0
0,13,0,2,2,2,18400,0
0,4,0,2,2,0,16800,0
0,5,0,1,1,2,6000,0
1,12,0,2,2,1,15600,0
0,10,0,0,0,0,7800,0
0,53,0,2,2,0,17000,0
0,6,0,2,1,2,7800,0
4,8,0,2,0,0,7800,1
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,21,0,0,0,1,7800,0
0,12,0,2,1,2,7800,0
0,1,0,1,0,0,7800,0
4,7,0,2,0,0,7800,0
8,8,0,0,1,1,5600,0
8,4,0,4,0,2,7800,0
8,4,0,1,1,2,7000,0
8,4,0,1,0,2,7800,0
8,4,0,1,0,2,7800,0
8,13,0,1,1,1,8800,0
0,6,0,2,1,0,7800,0
0,5,3,2,1,2,8400,0
0,6,0,2,1,0,7800,0
4,8,0,2,0,2,7800,2
0,8,0,0,1,1,7200,0
0,4,1,4,1,1,6800,0
0,1,3,1,1,2,8600,0
4,8,0,2,2,1,16000,0
0,12,0,2,2,0,18600,0
2,5,0,1,0,2,7800,0
11,71,1,2,0,0,7800,0
4,9,3,1,1,1,7400,0
1,4,0,2,0,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
1,5,0,2,2,1,17400,0
1,5,0,2,2,0,19200,0
0,12,0,2,0,1,7800,0
0,12,0,2,0,2,7800,0
0,12,0,1,1,2,8200,0
0,12,0,1,1,0,7200,0
0,6,0,2,1,1,7800,0
3,9,0,1,1,2,9000,0
0,6,0,2,1,1,7800,0
0,4,1,1,1,1,8800,0
0,6,0,2,1,1,7800,0
0,0,3,1,1,1,6600,0
3,7,2,2,0,0,7800,0
3,7,0,2,0,0,7800,0
0,5,2,1,1,2,8600,0
3,21,0,1,2,0,19800,0
0,72,0,2,0,0,7800,0
0,73,0,2,0,0,7800,0
0,6,0,2,1,2,7800,0
3,9,0,0,1,2,8600,0
0,74,0,2,1,1,7200,1
9,75,0,0,0,2,7800,0
0,1,0,1,0,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
8,13,0,1,0,0,7800,0
0,6,0,2,1,0,7800,0
