"Ville","Secteur_activite","Type_contrat","Niveau_etudes","Experience","Langue","Teletravail"
"Rabat","Call Centers (métiers de) - Secteur Centre d'appel","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Environnement (métiers de l') - Secteur Agroalimentaire - Chimie","CDI","Bac +3","Intermediaire","Anglais Français","Non"
"Casablanca","Assistanat de Direction","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Assistanat de Direction","Intérim","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Commercial","CDI","Bac +2","Intermediaire","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Informatique","CDI","Bac +5","Intermediaire","Anglais","Oui 100%"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Call Centers (métiers de) - Hôtellerie","CDI","Bac +2","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Télécoms","CDI","Bac +5","Senior","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Rabat","Assistanat de Direction","CDI","Bac +3","Debutant","Français","Non"
"Casablanca","Informatique","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Imprimerie (métiers de l') - Multimédia","CDI","Bac +2","Intermediaire","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion projet","CDI","Bac +2","Expert ","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +2","Intermediaire","Français","Non"
"Casablanca","Gestion","CDI","Bac +2","Intermediaire","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Informatique","CDI","Bac +5","Senior","Anglais","Non"
"Tanger","Assistanat de Direction","Autre","Bac +2","Debutant","Français","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Français","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Français","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Anglais","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Anglais Français","Non"
"Rabat","Gestion projet","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","RH","CDI","Bac +5","Senior","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Fès","Télécoms","Autre","Bac +5","Debutant","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Informatique","CDI","Bac +5","Intermediaire","Anglais Français","Hybride"
"Fès","Télécoms","CDI","Bac +5","Debutant","Français","Hybride"
"Fès","Télécoms","Autre","Bac +3","Debutant","Anglais","Hybride"
"Fès","Télécoms","Autre","Autre","Debutant","Français","Hybride"
"Rabat","Télécoms","CDI","Bac +5","Debutant","Français","Hybride"
"Rabat","Gestion","CDI","Bac +5","Intermediaire","Anglais Français","Hybride"
"Rabat","Achats","CDI","Bac +5","Intermediaire","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Rabat","Audit","CDI","Bac +5","Intermediaire","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Rabat","Audit","CDI","Bac +5","Debutant","Anglais Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Audit","CDI","Bac +5","Debutant","Anglais Français","Hybride"
"Rabat","Multimédia","CDI","Bac +5","Senior","Anglais Français","Hybride"
"Casablanca","Hôtellerie","CDI","Bac +3","Senior","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Commercial","CDD","Bac +3","Debutant","Français","Non"
"Casablanca","Call Centers (métiers de) - Secteur Centre d'appel - Offshoring","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Production","CDI","Bac +3","Senior","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Agadir","Achats","CDI","Bac +5","Senior","Anglais","Non"
"Casablanca","Achats","CDI","Bac +5","Senior","Anglais Français","Non"
"Marrakech","Hôtellerie","CDD","Autre","Debutant","Anglais Français","Non"
"Casablanca","Audit","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","Electricité - Méthodes","CDI","Bac +5","Senior","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Assurance (métiers de l') - Banque (métiers de la) - Secteur Assurance","Autre","Bac +3","Intermediaire","Anglais","Non"
"Tanger","Commercial","Intérim","Bac +2","Debutant","Anglais Français","Non"
"Marrakech","Gestion projet","CDD","Bac +5","Debutant","Français","Non"
"Marrakech","Médical","CDI","Bac +5","Intermediaire","Anglais","Non"
"Marrakech","RH","CDI","Bac +5","Senior","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Assurance (métiers de l') - Gestion projet","CDI","Bac +5","Intermediaire","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Informatique","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Achats","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Marrakech","Call Centers (métiers de) - Hôtellerie","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Rabat","RH","CDI","Bac +3","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Al Hoceima","Méthodes","CDI","Bac +3","Intermediaire","Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Anglais Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Agadir","Hôtellerie","CDD","Autre","Debutant","Anglais Français","Non"
"Casablanca","Production","CDI","Bac +5","Senior","Anglais","Non"
"Rabat","Informatique","CDI","Bac +5","Senior","Anglais Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Commercial","Intérim","Bac +2","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Audit","CDI","Bac +3","Debutant","Anglais Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion projet","CDI","Bac +3","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Anglais","Hybride"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Anglais","Hybride"
"Casablanca","Call Centers (métiers de) - Secteur Centre d'appel -","Autre","Bac +3","Debutant","Anglais Français","Non"
"Al Hoceima","Commercial","Autre","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Hôtellerie","Intérim","Bac +2","Debutant","Anglais","Non"
"Casablanca","Achats","Autre","Bac +2","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Avocat","CDI","Bac +5","Senior","Anglais","Non"
"Oujda","Méthodes","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","Audit","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Marketing - Secteur Import","CDI","Bac +3","Debutant","Anglais","Non"
"Casablanca","Communication","CDI","Bac +5","Intermediaire","Français","Non"
"Rabat","Environnement (métiers de l') - Gestion projet","CDI","Bac +5","Intermediaire","Français","Non"
"Rabat","Travaux","CDI","Bac +5","Intermediaire","Anglais","Non"
"Rabat","Assistanat de Direction","CDI","Bac +3","Intermediaire","Anglais Français","Non"
"Rabat","Gestion projet","CDI","Bac +5","Intermediaire","Anglais","Non"
"Al Hoceima","Travaux","CDD","Bac +2","Intermediaire","Français","Non"
"Rabat","Gestion projet","CDI","Bac +5","Debutant","Français","Non"
"Rabat","Gestion projet","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Environnement (métiers de l') - Travaux","CDI","Bac +2","Debutant","Français","Non"
"Rabat","Médical","CDD","Bac +3","Debutant","Anglais Français","Non"
"Rabat","Informatique","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Environnement (métiers de l') - Travaux","CDI","Bac +2","Debutant","Anglais Français","Non"
"Rabat","Agriculture (métiers de l') - Secteur Agriculture","CDD","Bac +2","Debutant","Anglais Français","Non"
"Rabat","Travaux","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Travaux","CDI","Bac +2","Intermediaire","Anglais","Non"
"Rabat","Agriculture (métiers de l') - Travaux","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Achats","CDI","Bac +5","Intermediaire","Anglais Français","Hybride"
"Rabat","Gestion projet","CDI","Bac +5","Senior","Anglais Français","Non"
"Rabat","Electricité - Travaux","CDI","Bac +2","Intermediaire","Anglais","Non"
"Rabat","Environnement (métiers de l') - Travaux","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Travaux","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Assistanat de Direction","CDI","Bac +3","Intermediaire","Anglais","Non"
"Rabat","Travaux","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Travaux","CDD","Bac +2","Intermediaire","Français","Non"
"Rabat","Gestion projet","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Achats","CDI","Bac +3","Debutant","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Tanger","Production","CDI","Bac +2","Debutant","Français","Non"
"Casablanca","Commercial","CDI","Bac +3","Debutant","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","RH","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Assistanat de Direction","CDI","Autre","Senior","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Logistique","CDI","Bac +3","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Logistique","CDI","Bac +3","Debutant","Anglais Français","Non"
"Casablanca","Marketing - Secteur Internet","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Call Centers (métiers de) - Hôtellerie","CDI","Bac +2","Debutant","Français","Non"
"Rabat","Call Centers (métiers de) - Hôtellerie","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Assurance (métiers de l') - Avocat","CDI","Bac +5","Senior","Français","Non"
"Casablanca","Gestion","CDI","Bac +5","Intermediaire","Anglais","Non"
"Agadir","Production","CDD","Bac +2","Debutant","Français","Non"
"Casablanca","Communication","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","RH","CDI","Bac +3","Intermediaire","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Marrakech","Administration des ventes","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Agriculture (métiers de l') - Gestion projet","CDI","Bac +5","Senior","Anglais","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Médical","CDI","Bac +3","Debutant","Anglais Français","Non"
"Casablanca","Gestion","Stage","Bac +3","Debutant","Français","Non"
"Casablanca","Médical","CDI","Bac +3","Debutant","Français","Non"
"Casablanca","Médical","CDI","Bac +3","Debutant","Français","Non"
"Casablanca","Gestion","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","RH","CDI","Bac +5","Intermediaire","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion","Intérim","Bac +3","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Administration des ventes","CDI","Bac +5","Senior","Anglais","Non"
"Casablanca","Avocat","CDI","Autre","Senior","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Rabat","Communication","CDI","Bac +3","Intermediaire","Anglais","Non"
"Marrakech","Call Centers (métiers de) - Secteur Centre d'appel","CDI","Bac +2","Intermediaire","Anglais Français","Non"
"Casablanca","Administration des ventes","CDI","Autre","Debutant","Anglais Français","Non"
"Casablanca","Commercial","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Call Centers (métiers de) - Commercial","CDI","Autre","Debutant","Anglais Français","Non"
"Casablanca","Gestion","CDI","Autre","Senior","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Français","Hybride"
"Rabat","Call Centers (métiers de) - Secteur Centre d'appel","CDI","Autre","Debutant","Français","Non"
"Casablanca","Gestion projet","CDI","Bac +5","Senior","Français","Non"
"Casablanca","Electricité - Informatique","CDI","Bac +2","Intermediaire","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +5","Intermediaire","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Banque (métiers de la) - Gestion","CDI","Bac +5","Intermediaire","Anglais","Non"
"Marrakech","Gestion projet","CDI","Bac +5","Intermediaire","Anglais","Non"
"Marrakech","Responsable de Département - Secteur Enseignement","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Informatique","Autre","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Call Centers (métiers de) - Informatique","CDI","Bac +2","Debutant","Anglais","Non"
"Agadir","Achats","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Tanger","Hôtellerie","Intérim","Autre","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Direction Générale - Direction des Opérations - Secteur Autres Industries","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Gestion projet","CDD","Bac +3","Debutant","Anglais","Non"
"Casablanca","Administration des ventes","CDI","Bac +3","Intermediaire","Français","Non"
"Casablanca","Gestion","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","Gestion projet","CDI","Bac +3","Debutant","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +5","Intermediaire","Anglais","Non"
"Casablanca","Communication","CDI","Autre","Intermediaire","Français","Non"
"Casablanca","Call Centers (métiers de) - Secteur Autres services","CDI","Autre","Debutant","Anglais Français","Non"
"Casablanca","- Secteur Extraction","CDI","Bac +5","Expert ","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Méthodes","CDI","Bac +5","Senior","Anglais Français","Non"
"Tanger","Production","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +2","Debutant","Français","Non"
"Casablanca","Commercial","CDI","Bac +2","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Commercial","CDI","Bac +3","Intermediaire","Français","Oui 100%"
"Casablanca","Informatique","CDI","Bac +5","Intermediaire","Anglais","Hybride"
"Casablanca","Méthodes","CDI","Bac +3","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Marrakech","Informatique","CDI","Bac +5","Intermediaire","Français","Non"
"Casablanca","Commercial","Autre","Bac +3","Intermediaire","Anglais","Non"
"Casablanca","Commercial","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
